id;tsunami;year;month;day;latitude;longitude;focaldepth;magnitude;deaths;country;country_zone
293;;1692;9;13;-25.4;-64.8;;0.7;;ARGENTINA: SANTIAGO, ESTECO, RIO DE LAS PIEDRAS;West
294;;1692;;;40.1;44.3;;;;ARMENIA: JEREVAN (ERIVAN);South
295;Yes;1693;1;9;37.333;15.167;;0.6;60000;ITALY: SICILY, CALABRIA, CATANIA;West
296;;1693;;;23.1;-82.4;;;;CUBA: HAVANA;South
297;Yes;1694;4;;25;121.5;;5.5;;TAIWAN: TAIBEI (TAIPEI);East
298;;1694;6;19;40;139.5;;;394;JAPAN: UGO;North
299;;1694;9;8;40.7;15.7;;;4057;ITALY: CALITRI;South
300;;1695;2;25;45.4;12.2;;6.2;;ITALY: ASOLO,TREVISO;East
301;;1695;5;18;36;111.5;;0.8;20000;CHINA: SHANXI PROVINCE: LINFEN;North
302;;1695;6;11;42.5;12.1;;;31;ITALY: BAGNOREGIO;North
303;;1696;5;;39.3;44.6;;;;IRAN: ST THADDEUS;East
304;;1696;9;4;37.8;21;;;;GREECE: S;North
305;;1697;2;25;16.7;-99.2;;;;MEXICO: MEXICO CITY,ACAPULCO;South
306;;1698;6;20;-1.2;-78.7;;7.7;;ECUADOR: TUNGURAHUA,COTOPAXI,CHIMBORAZO;East
307;;1698;7;19;-1.3;-78.7;;;1000;ECUADOR: AMBATO,CARGUAYRAZO;West
308;Yes;1698;12;22;33.3;131.7;;6.4;;SEIKAIDO-NANKAIDO;East
309;;1699;2;11;45.6;15.3;6;0.5;;BALKANS NW: SLOVENIA: LJUBLJANA;East
310;;1699;7;14;-12.1;-76.6;40;7.8;;PERU: LIMA;North
311;;1699;;;14.4;120.6;;;;PHILIPPINES: MANILA;North
312;Yes;1700;1;27;45;-125;;0.9;;CASCADIA SUBDUCTION ZONE;East
313;Yes;1700;4;16;34.2;129.3;;0.7;;JAPAN: YesSHIMA, NAGASAKI PREFECTURE;North
314;Yes;1700;9;12;36.5;126.5;;6.5;;SOUTH KOREA: CHUNGCHONG;South
315;;1701;11;9;18.3;-72.4;;;;HAITI: LEOGANE,PETIT GOAVE;East
316;;1701;12;21;16.5;-97;;;;MEXICO: OAXACA;North
317;;1702;3;14;41.1;14.5;;;150;ITALY: BENEVENTO;West
318;;1702;9;;14.4;-61;;;;MARTINIQUE;South
319;;1703;1;14;42.78;13.1;;;40000;ITALY: CENTRAL APENNINO, NORCIA, L'AQUILA, PERUGIA;East
320;Yes;1703;2;2;42.467;13.2;;6.7;10000;ITALY: L'AQUILA (AQUILA);East
321;;1703;5;17;26.6;56.2;;;;IRAN: QESHM ISLAND (QISHM ISLAND);East
322;Yes;1703;7;2;44.4;8.917;;3.2;;ITALY: GENOA, CARMAGNOLE;South
